id,container_number,vessel_id,container_type,status,destination,weight,priority,terminal,arrival_date
1,ZTCU6233774,75,reefer,delayed,Piraeus,12313.02,normal,Terminal A,2026-02-09
2,JHDU5074336,76,standard,dispatched,Vancouver,22943.73,high,Terminal B,2026-01-07
3,WLMU8186990,45,reefer,in_yard,Long Beach,2328.96,normal,Terminal A,2026-08-10
4,VNKU7076506,14,reefer,dispatched,Hamburg,13322.67,normal,Terminal B,2026-03-05
5,BFPU9111742,79,standard,dispatched,Durban,8978.28,high,Terminal A,2026-08-24
6,VNKU5091349,36,dangerous_goods,loaded,Piraeus,10746.31,normal,Terminal B,2026-04-07
7,VNKU4558780,24,standard,in_yard,Antwerp,24888.32,normal,Terminal C,2026-05-01
8,ZTCU9667566,72,flat_rack,in_yard,Tanjung Pelepas,14703.02,high,Terminal C,2026-05-21
9,JHDU9234615,83,standard,in_yard,Ningbo,7761.51,normal,Terminal B,2026-03-09
10,WLMU7191135,85,standard,loaded,Tanjung Pelepas,27912.42,normal,Terminal A,2026-04-10
11,VNKU5545223,90,standard,in_yard,Santos,10204.25,normal,Terminal B,2026-07-21
12,OPXU9123504,25,standard,loaded,Algeciras,17516.56,urgent,Terminal C,2026-06-24
13,OPXU7054579,38,standard,in_yard,Nhava Sheva,5291.16,low,Terminal C,2026-05-31
14,QRSU3118618,71,reefer,dispatched,Los Angeles,24690.71,normal,Terminal C,2026-01-04
15,VNKU6716097,62,standard,in_yard,Valencia,4966.27,low,Terminal A,2026-02-04
16,WLMU1899411,10,standard,dispatched,Ningbo,4214.7,normal,Terminal A,2026-07-01
17,WLMU4786401,78,dangerous_goods,loaded,Felixstowe,9731.18,normal,Terminal A,2026-08-13
18,WLMU2010496,40,reefer,dispatched,Santos,18263.39,normal,Terminal A,2026-06-21
19,OPXU3916107,21,reefer,in_yard,Tanjung Pelepas,13713.1,normal,Terminal A,2026-05-31
20,OPXU5833597,5,reefer,dispatched,Felixstowe,3850.67,normal,Terminal A,2026-07-28
21,BFPU4318855,101,standard,loaded,Hamburg,25618.7,high,Terminal A,2026-02-10
22,OPXU6160869,8,reefer,dispatched,Ningbo,13417.99,normal,Terminal B,2026-07-07
23,VNKU5567533,90,standard,loaded,Shanghai,17548.95,high,Terminal B,2026-07-22
24,QRSU1433940,78,standard,damaged,Durban,17265.2,low,Terminal A,2026-08-13
25,ZTCU3939212,74,standard,dispatched,Antwerp,6718.72,normal,Terminal B,2026-07-20
26,VNKU6837817,12,standard,in_yard,Los Angeles,24301.06,normal,Terminal B,2026-06-13
27,JHDU7718473,37,dangerous_goods,loaded,Felixstowe,4289.55,normal,Terminal C,2026-02-27
28,VNKU9633492,99,dangerous_goods,in_yard,Nhava Sheva,14011.38,low,Terminal C,2026-07-26
29,BFPU9363326,80,reefer,dispatched,Santos,8943.46,low,Terminal B,2026-06-19
30,JHDU9132114,57,standard,damaged,Vancouver,22782.16,normal,Terminal B,2026-06-03
31,ZTCU7844947,71,standard,damaged,Los Angeles,13997.65,low,Terminal C,2026-01-03
32,JHDU5896624,64,standard,in_yard,Valencia,27486.36,normal,Terminal C,2026-07-26
33,OPXU9526867,50,reefer,in_yard,Shanghai,9182.43,high,Terminal B,2026-04-11
34,BFPU9518424,44,standard,in_yard,Ningbo,23774.37,normal,Terminal C,2026-06-18
