id,vessel_name,voyage_number,arrival_date,departure_date,status,terminal
1,MV Western Horizon,V2026-0001,2026-01-07,2026-01-10,arrived,Terminal A
2,MV Crimson Horizon,V2026-0002,2026-06-23,2026-06-28,scheduled,Terminal B
3,MV Northern Star,V2026-0003,2026-01-24,2026-01-26,arrived,Terminal C
4,MV Northern Legacy,V2026-0004,2026-02-20,2026-02-25,arrived,Terminal B
5,MV Eastern Navigator,V2026-0005,2026-07-27,2026-07-28,departed,Terminal A
6,MV Crimson Trader,V2026-0006,2026-03-29,2026-04-01,arrived,Terminal B
7,MV Pacific Horizon,V2026-0007,2026-04-08,2026-04-09,arrived,Terminal B
8,MV Emerald Star,V2026-0008,2026-07-06,2026-07-10,arrived,Terminal B
9,MV Pacific Legacy,V2026-0009,2026-03-17,2026-03-22,departed,Terminal B
10,MV Eastern Pioneer,V2026-0010,2026-06-30,2026-07-01,scheduled,Terminal A
11,MV Emerald Navigator,V2026-0011,2026-01-21,2026-01-23,departed,Terminal B
12,MV Silver Express,V2026-0012,2026-06-12,2026-06-15,arrived,Terminal B
13,MV Golden Endeavor,V2026-0013,2026-03-10,2026-03-11,departed,Terminal A
14,MV Southern Pathfinder,V2026-0014,2026-03-04,2026-03-06,arrived,Terminal B
15,MV Arctic Endeavor,V2026-0015,2026-06-26,2026-07-01,arrived,Terminal B
16,MV Coral Enterprise,V2026-0016,2026-07-18,2026-07-19,arrived,Terminal A
17,MV Emerald Mariner,V2026-0017,2026-04-13,2026-04-16,scheduled,Terminal C
18,MV Arctic Pathfinder,V2026-0018,2026-03-22,2026-03-24,departed,Terminal B
19,MV Arctic Frontier,V2026-0019,2026-06-14,2026-06-18,scheduled,Terminal A
20,MV Golden Pathfinder,V2026-0020,2026-05-24,2026-05-29,arrived,Terminal C
21,MV Grand Frontier,V2026-0021,2026-05-30,2026-06-03,arrived,Terminal A
22,MV Southern Express,V2026-0022,2026-01-24,2026-01-25,departed,Terminal A
23,MV Western Voyager,V2026-0023,2026-07-22,2026-07-26,departed,Terminal B
24,MV Grand Odyssey,V2026-0024,2026-04-30,2026-05-05,arrived,Terminal C
25,MV Coral Star,V2026-0025,2026-06-24,2026-06-25,departed,Terminal C
26,MV Emerald Endeavor,V2026-0026,2026-03-29,2026-03-30,arrived,Terminal A
27,MV Blue Star,V2026-0027,2026-07-04,2026-07-07,delayed,Terminal A
28,MV Southern Frontier,V2026-0028,2026-01-28,2026-01-31,departed,Terminal C
29,MV Atlantic Mariner,V2026-0029,2026-07-15,2026-07-17,arrived,Terminal C
30,MV Arctic Star,V2026-0030,2026-06-03,2026-06-06,arrived,Terminal A
31,MV Arctic Mariner,V2026-0031,2026-08-13,2026-08-16,arrived,Terminal A
32,MV Arctic Odyssey,V2026-0032,2026-01-21,2026-01-22,departed,Terminal A
33,MV Emerald Legacy,V2026-0033,2026-07-16,2026-07-18,scheduled,Terminal B
34,MV Southern Voyager,V2026-0034,2026-03-09,2026-03-14,departed,Terminal B
35,MV Golden Frontier,V2026-0035,2026-05-19,2026-05-21,departed,Terminal B
36,MV Western Endeavor,V2026-0036,2026-04-06,2026-04-10,departed,Terminal B
37,MV Pacific Pioneer,V2026-0037,2026-02-27,2026-02-28,arrived,Terminal C
38,MV Southern Pioneer,V2026-0038,2026-05-31,2026-06-02,scheduled,Terminal C
39,MV Western Star,V2026-0039,2026-02-28,2026-03-01,delayed,Terminal B
40,MV Golden Navigator,V2026-0040,2026-06-21,2026-06-25,arrived,Terminal A
41,MV Crimson Frontier,V2026-0041,2026-08-14,2026-08-19,departed,Terminal A
42,MV Emerald Express,V2026-0042,2026-07-26,2026-07-30,arrived,Terminal A
43,MV Western Trader,V2026-0043,2026-04-01,2026-04-05,arrived,Terminal C
44,MV Northern Endeavor,V2026-0044,2026-06-17,2026-06-18,scheduled,Terminal C
45,MV Royal Enterprise,V2026-0045,2026-08-09,2026-08-10,arrived,Terminal A
46,MV Atlantic Trader,V2026-0046,2026-02-16,2026-02-19,arrived,Terminal A
47,MV Blue Enterprise,V2026-0047,2026-08-09,2026-08-14,scheduled,Terminal C
